name,apiUrl,url,slug,description,linhafina,category,city,lat,lng,meu
Vaidapé,http://vaidape.com.br/wp-json/wp/v2/,http://vaidape.com.br/,vaidape,"A Vaidapé é um coletivo de comunicação formado por jovens que debatem e divulgam movimentações culturais, periféricas e marginais por meio de um jornalismo independente. Na Vaidapé, a periferia é o centro. Articula-se com aqueles que não estão nos holofotes da grande imprensa e não são prioridade na agenda política. Atua no audiovisual, na radiodifusão, no meio impresso e digital, mas também desenvolve projetos e eventos que conectam e dialogam com jovens dos extremos da cidade.","Debater e divulgar movimentações culturais, periféricas e marginais.",Cidadania e Política,São Paulo,-23.527274,-46.629497,
Ponte Jornalismo,https://ponte.org/wp-json/wp/v2/,https://ponte.org/,pontejornalismo,"Canal de informações sobre segurança pública, justiça e direitos humanos que surgiu em 2014 da convicção de um grupo de jornalistas de que jornalismo de qualidade sob o prisma dos direitos humanos é capaz de ajudar na construção de um mundo mais justo; de que é preciso desnudar as razões pelas quais a população tem medo da tropa policial; revelar os fatos que levam os pobres e negros a serem vítimas de um Judiciário injusto e lento, e os caminhos que permitem que o sistema prisional invista bilhões de reais para causar dor e sofrimento aos apenados.","Canal de informações sobre segurança pública, justiça e direitos humanos.",Cidadania e Política,São Paulo,-23.534035,-46.652783,
Justificando,http://justificando.cartacapital.com.br/wp-json/wp/v2/,http://justificando.cartacapital.com.br/,justificando,"Portal independente criado em 2014 que busca informação e artigos sobre justiça e poder, sempre com o compromisso com direitos humanos.",Portal independente que busca informação e artigos sobre justiça e poder.,Cidadania e Política,São Paulo,-23.559879,-46.65702,
Geledés,https://www.geledes.org.br/wp-json/wp/v2/,https://www.geledes.org.br/,geledes,GELEDÉS Instituto da Mulher Negra fundada em 30 de abril de 1988. É uma organização da sociedade civil que se posiciona em defesa de mulheres e negros por entender que esses dois segmentos sociais padecem de desvantagens e discriminações no acesso às oportunidades sociais em função do racismo e do sexismo vigentes na sociedade brasileira.,Organização da sociedade civil que se posiciona em defesa de mulheres e negros.,Gênero,São Paulo,-23.542907,-46.646824,TRUE
Blogueiras Negras,http://blogueirasnegras.org/wp-json/wp/v2/,http://blogueirasnegras.org/,blogueirasnegras,"Criado a partir da Blogagem Coletiva da Mulher Negra, organizada para motivar a produção de textos sobre a relação entre duas datas importantes que são próximas em nosso calendário: 20 de novembro (Dia Nacional para nos lembrar de Zumbi dos Palmares, um dos principais heróis da luta antirracista brasileira e Dia da Consciência Negra) e 25 de Novembro (Dia Internacional de combate à violência contra as mulheres). A missão do Blogueiras Negras é promover a livre produção de conteúdo, partindo do principio de que às mulheres negras sempre foi negado lugares e discursos.",Mulheres negras e afrodescentes discutem negritude e feminismo.,Gênero,Rio de Janeiro e São Paulo,-22.9811491,-43.2359402,
AzMina,http://azmina.com.br/wp-json/wp/v2/,http://azmina.com.br/,azmina,"Azmina é uma associação sem fins lucrativos que busca usar a cultura e a informação para alimentar o debate e empoderar mulheres. O principal produto é a Revista AzMina  para mulheres de A a Z, criada em 2015, que visa estimular o empoderamento feminino por meio da promoção da cultura e da informação de qualidade.",Usar a cultura e a informação para alimentar o debate e empoderar mulheres.,Gênero,Do Mundo,-23.540581,-46.697379,
Agência Pública,https://apublica.org/wp-json/wp/v2/,https://apublica.org/,agenciapublica,"Pioneira do Brasil, a Agência Pública – fundada em 2011 – aposta num modelo de jornalismo sem fins lucrativos para manter a independência. Sua missão é produzir reportagens de fôlego pautadas pelo interesse público, sobre as grandes questões do país do ponto de vista da população – visando ao fortalecimento do direito à informação, à qualificação do debate democrático e à promoção dos direitos humanos.",Reportagens de fôlego pautadas pelo interesse público.,Cidadania e Política,Rio de Janeiro,-22.952418,-43.188695,
Envolverde,http://envolverde.cartacapital.com.br/wp-json/wp/v2/,http://envolverde.cartacapital.com.br/,envolverde,"O Projeto Envolverde foi criado em 1995 para fazer a gestão do semanário Terramérica, realizado em parceria com o Programa das Nações Unidas para o Meio Ambiente (Pnuma) e o Programa das Nações Unidas para o Desenvolvimento (Pnud), que depois veio a receber apoio do Banco Mundial. O portal, criado em 1998 e decorrente do projeto, hoje é um dos principais sites brasileiros sobre sustentabilidade. Já recebeu dois prêmios Ethos e um Prêmio de Melhor Mídia em Meio Ambiente do Instituto Chico Mendes, entre outros. O objetivo principal do site é ampliar o conhecimento social da sustentabilidade por meio do jornalismo e da comunicação.",Ampliar o conhecimento social da sustentabilidade por meio do jornalismo.,Meio Ambiente,São Paulo,-23.554872,-46.686545,
Cidade Para Pessoas,http://cidadesparapessoas.com/wp-json/wp/v2/,http://cidadesparapessoas.com/,cidadeparapessoas,"É um projeto de investigação que interpreta e experimenta ideias para cidades mais humanas. Investiga a vida urbana em expedições por cidades do Brasil e do mundo usando como ferramentas a apuração jornalística e o desenho de observação. Interpreta suas descobertas em narrativas com diversas linguagens  reportagens, diários ilustrados, vídeos, mapas, palestras, exposições etc. E experimenta algumas dessas ideias na prática, em oficinas e protótipos de intervenções urbanas. Existe desde 2011.",Projeto que interpreta e experimenta ideias para cidades mais humanas.,Cidadania e Política,São Paulo,-23.556291,-46.662371,
Desacato,http://desacato.info/wp-json/wp/v2/,http://desacato.info/,desacato,"Cooperativa de jornalistas, produtores culturais, técnicos em informática, profissionais em áreas específicas, tradutores, cinegrafistas, fotógrafos, designers, publicitários e editores. Foi fundada em 2011.",Cria fontes de trabalho para jornalistas e produtores culturais independentes.,Cidadania e Política,Florianópolis,-27.595285,-48.549152,
Passa Palavra,http://passapalavra.info/wp-json/wp/v2/,http://passapalavra.info/,passapalavra,"Grupo de orientação anticapitalista fundado em 2009 que, independente de partidos e demais poderes políticos e econômicos, é formado por colaboradores de Portugal e do Brasil, cujo intuito maior é construir um espaço comunicacional que contribua para a articulação e a unificação prática das lutas sociais. Estão disponíveis no site notícias, artigos opinativos, cartuns, denúncias, vídeos, áudios, debates e outros materiais informativos de produção própria, visando à construção de uma rede de solidariedade e colaboração entre todos aqueles que lutam contra as injustiças sociais.",Construir um espaço comunicacional que contribua para a articulação e a unificação prática das lutas sociais.,Cidadania e Política,Brasil e Portugal,39.3841994,-9.7235212,
Projeto Colabora,http://projetocolabora.com.br/wp-json/wp/v2/,http://projetocolabora.com.br/,projetocolabora,"Colabora é um projeto jornalístico sem fins lucrativos nem qualquer vinculação partidária. Ele nasce da certeza de que é preciso enfrentar a ideia do Eu, do Aqui e do Agora. Um conceito que tem dominado boa parte das conversas e das decisões que nos cercam. Prefere o Nós, em Qualquer Lugar, a Qualquer Hora. Quer trocar o Faça Você Mesmo pela Construção Coletiva.",Projeto colaborativo de jornalismo ambiental.,Meio Ambiente,Rio de Janeiro,-22.941711,-43.183721,
Periferia em Movimento,http://periferiaemmovimento.com.br/wp-json/wp/v2/,http://periferiaemmovimento.com.br/,periferiaemmovimento,"Como meio alternativo à mídia convencional e com uma perspectiva de dentro pra dentro, o site acompanha, reflete, apoia e difunde ações sociais, culturais, políticas e econômicas de iniciativa popular que visam à garantia dos direitos fundamentais nas bordas das cidades, especialmente no extremo sul de São Paulo, desde 2012.",Meio alternativo à mídia convencional e com uma perspectiva 'de dentro pra dentro'.,Cidadania e Política,São Paulo,-23.718433,-46.699131,
Livre Jor,http://livre.jor.br/wp-json/wp/v2/,http://livre.jor.br/,livrejor,"Livre.jor é feito por jornalistas e existe desde 2014, com a regra de só usar dados públicos como matéria-prima para as notícias. O foco é aquilo que acontece no Paraná. Para isso fazem análise de bancos de dados, acompanham sistematicamente diários e documentos oficiais. Também ""entrevistam"" os poderes públicos via Lei de Acesso à Informação.","Coloca as pessoas diante da informação, usando só dados públicos como matéria-prima para as notícias.",Cidadania e Política,Curitiba,-25.426214,-49.26625,
