Mapa/id,Mapa/veiculo,Mapa/url,Mapa/descricao,Mapa/linha_fina,Mapa/localizacao,Mapa/como_mantem,Mapa/votos,Mapa/twitter,Mapa/facebook,Mapa/email,Mapa/logo,Mapa/enviado_por,Mapa/ativo,Mapa/created
2,Envolverde,www.envolverde.org.br,"O Projeto Envolverde foi criado em 1995 para fazer a gestão do semanário Terramérica, realizado em parceria com o Programa das Nações Unidas para o Meio Ambiente (Pnuma) e o Programa das Nações Unidas para o Desenvolvimento (Pnud), que depois veio a receber apoio do Banco Mundial. O portal, criado em 1998 e decorrente do projeto, hoje é um dos principais sites brasileiros sobre sustentabilidade. Já recebeu dois prêmios Ethos e um Prêmio de Melhor Mídia em Meio Ambiente do Instituto Chico Mendes, entre outros. O objetivo principal do site é ampliar o conhecimento social da sustentabilidade por meio do jornalismo e da comunicação.","Ampliar o conhecimento social da sustentabilidade por meio do jornalismo. 
",Nasceu em São Paulo e tem atuação nacional.,"Publicidade no site e doação de Pessoas Jurídicas.
",185,https://twitter.com/envolverde,https://www.facebook.com/envolverde,,envolverde.jpg,publica,true,2016-01-30
3,Revista Capitolina,http://revistacapitolina.com.br/,"Revista online independente criada em 2014 para garotas adolescentes que fala de escola, relacionamentos, games, gadgets, moda, culinária, entre outros assuntos. Criada por jovens, tem a intenção de estabelecer um diálogo honesto com as leitoras, de forma inclusiva, sem restrições de classe social, raça, orientação sexual e aparência física. A intenção é representar todas as jovens, especialmente as que se sentem excluídas pelos moldes tradicionais da adolescência, mostrando que elas têm espaço para crescer da forma que são. O conteúdo é escrito por colaboradoras e inclui quadrinhos, ensaios fotográficos e produção literária. ",Para garotas adolescentes que não se encaixam nos moldes.,Do Brasil todo.,Ainda não se mantém.,260,https://twitter.com/capitolinafala,https://www.facebook.com/capitolinarevista,,revista_capitolina.jpg,publica,true,2016-01-30
4,Coletivo Nigéria,https://www.facebook.com/coletivoNigeria/,"A Nigéria é uma produtora/coletivo formada por jovens comunicadores e realizadores de vídeos e documentários. Formada em 2010, tem o objetivo de empoderar e catalisar por meio do audiovisual o poder de transformação dos movimentos sociais. Funciona como coletivo na forma de organização e atuação horizontal, mas também é uma produtora, pois realiza serviços de produção audiovisual.",Empoderar e catalisar o poder de transformação dos movimentos sociais.,Fortaleza.,"Crowdfunding, doação de Pessoas Jurídicas, editais e trabalhos em parcerias com ONGS e movimentos sociais.",177,,https://www.facebook.com/coletivoNigeria/,,coletivo_nigeria.jpg,publica,true,2016-01-30
5,Azmina,http://azmina.com.br/,"Azmina é uma associação sem fins lucrativos que busca usar a cultura e a informação para alimentar o debate e empoderar mulheres. O principal produto é a Revista AzMina  para mulheres de A a Z, criada em 2015, que visa estimular o empoderamento feminino por meio da promoção da cultura e da informação de qualidade.",Usar a cultura e a informação para alimentar o debate e empoderar mulheres.,"Do mundo. Não existe uma sede, mas escritórios espalhados por vários países.","Crowdfunding, doação de Pessoas Jurídicas, oficinas e eventos beneficentes. Mas ainda não se mantém.",218,https://twitter.com/revistaazmina,https://www.facebook.com/revistaazmina,,azmina.jpg,publica,true,2016-01-30
6,Volt Data Lab,http://www.voltdata.info/,"Criado em 2014, o Volt Data Lab é uma agência dedicada a produzir reportagens e investigações a partir de dados, desenvolvendo projetos de direitos humanos, política, economia, desenvolvimento social, questões ambientais, mídia e tecnologia.",Agência dedicada a produzir reportagens e investigações a partir de dados.,"São Paulo, um pouco de Curitiba, com escopo de cobertura nacional.",Dando cursos e fazendo conteúdo sob demanda. ,132,https://twitter.com/voltmediabr,https://www.facebook.com/voltdata,,volt_data_lab.jpg,publica,true,2016-01-30
7,Revista Berro,http://revistaberro.com/,"Publicação independente, criada em 2013, sobre sociedade, arte, cultura, comunicação, literatura e humor, cuja missão principal é produzir um conteúdo crítico e contra-hegemônico ao da mídia empresarial, que tem o Bode Berro como mascote e guru. A revista é aberta, livre, anárquica, sem linha editorial definida  mas sem perder de vista ""de que lado a gente samba"". ","Revista aberta, livre, anárquica.","Fortaleza, com cobertura nacional.",Doação de Pessoas Jurídicas e futuramente por crowdfunding.,136,https://twitter.com/RevistaBerro,https://www.facebook.com/RevistaBerroCE,,revista_berro.jpg,publica,true,2016-01-30
8,Vozerio,http://www.vozerio.org.br/,"Lançado em 2015, o Vozerio tem se dedicado a contar histórias e a debater questões do Rio metropolitano e de seus moradores. Em reportagens, entrevistas, debates, vídeos, artigos e notícias, o Vozerio conta a história, explora a diversidade do Rio contemporâneo e indaga para onde caminha a metrópole.",Dedicado a contar histórias e a debater questões do Rio metropolitano e de seus moradores.,O site foi criado e está baseado no Rio de Janeiro; seu foco é a região metropolitana do Rio de Janeiro.,Patrocínio por leis de incentivo.,88,https://twitter.com/vozeriorevista,https://www.facebook.com/vozeriorevista/,,vozerio.jpg,publica,true,2016-01-30
9,Cidades para Pessoas,http://www.cidadesparapessoas.com/,"É um projeto de investigação que interpreta e experimenta ideias para cidades mais humanas. Investiga a vida urbana em expedições por cidades do Brasil e do mundo usando como ferramentas a apuração jornalística e o desenho de observação. Interpreta suas descobertas em narrativas com diversas linguagens  reportagens, diários ilustrados, vídeos, mapas, palestras, exposições etc. E experimenta algumas dessas ideias na prática, em oficinas e protótipos de intervenções urbanas. Existe desde 2011.
",Projeto que interpreta e experimenta ideias para cidades mais humanas.,"Nasceu em São Paulo, mas tem cobertura nacional.",Por meio de palestras e projetos especiais.,169,,https://www.facebook.com/cidadesparapessoas,,cidades_para_pessoas.jpg,publica,true,2016-01-30
10,Barão de Itararé,http://www.baraodeitarare.org.br/,"O Centro de Estudos da Mídia Alternativa Barão de Itararé atua nacionalmente, com núcleos estaduais, produzindo conteúdo informativo e promovendo debates, cursos, palestras e atividades relacionadas à luta pela democratização da comunicação desde 2010. Uma das principais premissas dessa luta é que, sem pluralidade e diversidade de opiniões e ideias na mídia, que reflitam, inclusive, a riqueza dos contrastes regionais e culturais brasileiros, se torna 
impossível avançar e consolidar, de fato, a democracia no país.",Produz conteúdo e promove atividades relacionadas à luta pela democratização da comunicação.,A iniciativa nasceu em São Paulo. A cobertura é nacional.,"Publicidade no site, doação de Pessoas Jurídicas, publicação de livros, realização de cursos, doações de Pessoas Físicas.",160,,https://www.facebook.com/baraomidia/,,barao_de_itarare.jpg,publica,true,2016-01-30
11,Lado M,http://www.lado-m.com/,"O Lado M existe para falar sobre empoderamento feminino por meio de reportagens, vídeos, ensaios fotográficos e muito mais. Conteúdos que mostrem que as mulheres podem ser e fazer o que quiserem, independentemente de estereótipos de gênero. É para isto que o Lado M existe: mostrar que as mulheres e as possibilidades de interesses e de estilos femininos vão muito além de qualquer padrão.",Conteúdo que mostra que as mulheres podem ser e fazer o que quiserem.,São Paulo,"Publicidade no site, mas ainda não se banca. ",126,https://twitter.com/siteladom,https://www.facebook.com/SiteLadoM,,lado_m.jpg,publica,true,2016-01-30
